2023-05-26 00:42:25.500 [main] INFO  c.e.c.CertificateBackApplication - Starting CertificateBackApplication using Java 1.8.0_281 on DESKTOP-65DUH4R with PID 20252 (C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back\target\classes started by User in C:\Users\User\Documents\FTN\VI semestar\IB\projekat\certificate-manager-web-app\certificate-back)
2023-05-26 00:42:25.505 [main] INFO  c.e.c.CertificateBackApplication - No active profile set, falling back to 1 default profile: "default"
2023-05-26 00:42:26.241 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-05-26 00:42:26.309 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 63 ms. Found 7 JPA repository interfaces.
2023-05-26 00:42:26.762 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (https)
2023-05-26 00:42:26.767 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["https-jsse-nio-8081"]
2023-05-26 00:42:26.768 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-05-26 00:42:26.768 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-05-26 00:42:26.910 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-05-26 00:42:26.910 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1337 ms
2023-05-26 00:42:26.982 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-05-26 00:42:27.555 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-05-26 00:42:27.635 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-05-26 00:42:27.663 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
2023-05-26 00:42:27.804 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-05-26 00:42:27.878 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2023-05-26 00:42:28.515 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-05-26 00:42:28.525 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-05-26 00:42:29.211 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-05-26 00:42:29.554 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3add5e17, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1c58d7be, org.springframework.security.web.context.SecurityContextPersistenceFilter@1fbd5e0, org.springframework.security.web.header.HeaderWriterFilter@1328f482, org.springframework.web.filter.CorsFilter@61b8c9de, org.springframework.security.web.authentication.logout.LogoutFilter@2bb3f39e, com.example.certificateback.security.TokenAuthenticationFilter@b34c7c9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@135064ea, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@106459d9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5b490d5e, org.springframework.security.web.session.SessionManagementFilter@7bdb4f17, org.springframework.security.web.access.ExceptionTranslationFilter@59f76e56, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@4db6348b]
2023-05-26 00:42:29.557 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/login', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.557 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/login', POST]
2023-05-26 00:42:29.557 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='api/user/register', POST]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.557 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='api/user/register', POST]
2023-05-26 00:42:29.557 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.557 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/', GET]
2023-05-26 00:42:29.557 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/webjars/**', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.557 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/webjars/**', GET]
2023-05-26 00:42:29.559 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.559 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/*.html', GET]
2023-05-26 00:42:29.559 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='favicon.ico', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.559 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='favicon.ico', GET]
2023-05-26 00:42:29.559 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.html', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
2023-05-26 00:42:29.559 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/**/*.html', GET]
2023-05-26 00:42:29.559 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/**/*.css', GET]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
